ticker,company_name,sector,industry,market_cap,country
MMM,3M Company,industrials,Conglomerates,80137461760,United States
AOS,A. O. Smith Corporation,industrials,Specialty Industrial Machinery,9544678400,United States
ABT,Abbott Laboratories,healthcare,Medical Devices,238833221632,United States
ABBV,AbbVie Inc.,healthcare,Drug Manufacturers - General,373442117632,United States
ACN,Accenture plc,technology,Information Technology Services,217829670912,Ireland
ADBE,Adobe Inc.,technology,Software - Application,196242915328,United States
AMD,"Advanced Micro Devices, Inc.",technology,Semiconductors,164754194432,United States
AES,The AES Corporation,utilities,Utilities - Diversified,7793371136,United States
AFL,Aflac Incorporated,financial-services,Insurance - Life,59118964736,United States
A,"Agilent Technologies, Inc.",healthcare,Diagnostics & Research,36068380672,United States
APD,"Air Products and Chemicals, Inc.",basic-materials,Specialty Chemicals,69319065600,United States
ABNB,"Airbnb, Inc.",consumer-cyclical,Travel Services,88590663680,United States
AKAM,"Akamai Technologies, Inc.",technology,Software - Infrastructure,12449336320,United States
ALB,Albemarle Corporation,basic-materials,Specialty Chemicals,8725092352,United States
ARE,"Alexandria Real Estate Equities, Inc.",real-estate,REIT - Office,17688272896,United States
ALGN,"Align Technology, Inc.",healthcare,Medical Instruments & Supplies,12819965952,United States
ALLE,Allegion plc,industrials,Security & Protection Services,10914010112,Ireland
LNT,Alliant Energy Corporation,utilities,Utilities - Regulated Electric,16284539904,United States
ALL,The Allstate Corporation,financial-services,Insurance - Property & Casualty,52888588288,United States
GOOGL,Alphabet Inc.,communication-services,Internet Content & Information,2118526173184,United States
GOOG,Alphabet Inc.,communication-services,Internet Content & Information,2121666265088,United States
MO,"Altria Group, Inc.",consumer-defensive,Tobacco,94592425984,United States
AMZN,"Amazon.com, Inc.",consumer-cyclical,Internet Retail,2208136691712,United States
AMCR,Amcor plc,consumer-cyclical,Packaging & Containers,14554573824,Switzerland
AEE,Ameren Corporation,utilities,Utilities - Regulated Electric,26647818240,United States
AEP,"American Electric Power Company, Inc.",utilities,Utilities - Regulated Electric,55128686592,United States
AXP,American Express Company,financial-services,Credit Services,199645528064,United States
AIG,"American International Group, Inc.",financial-services,Insurance - Diversified,48243904512,United States
AMT,American Tower Corporation,real-estate,REIT - Specialty,97553604608,United States
AWK,"American Water Works Company, Inc.",utilities,Utilities - Regulated Water,26867597312,United States
AMP,"Ameriprise Financial, Inc.",financial-services,Asset Management,51057143808,United States
AME,"AMETEK, Inc.",industrials,Specialty Industrial Machinery,42681143296,United States
